text,cleaned_text,created_at,user,vader_compound,vader_pos,vader_neu,vader_neg,textblob_polarity,textblob_subjectivity
Accumulating ETH at these levels is a no-brainer.,Accumulating ETH at these levels is a no-brainer.,2025-05-16 02:15:33+00:00,crypto_user_8840,1.0,1.0,0.0,0.0,1.0,0.5
Whales dumping ETH. Price manipulation is real.,Whales dumping ETH. Price manipulation is real.,2025-05-25 17:09:13+00:00,crypto_user_6149,-1.0,0.0,0.0,1.0,-1.0,0.5
Interesting developments in the ETH ecosystem.,Interesting developments in the ETH ecosystem.,2025-05-06 01:26:48+00:00,crypto_user_6501,0.0,0.5,1.0,0.5,0.0,0.5
Regulatory concerns for ETH are mounting. Proceed with caution.,Regulatory concerns for ETH are mounting. Proceed with caution.,2025-05-04 04:44:01+00:00,crypto_user_3247,-1.0,0.0,0.0,1.0,-1.0,0.5
What's your price prediction for ETH this month?,What's your price prediction for ETH this month?,2025-05-14 16:42:47+00:00,crypto_user_6483,0.0,0.5,1.0,0.5,0.0,0.5
Whales dumping ETH. Price manipulation is real.,Whales dumping ETH. Price manipulation is real.,2025-04-27 19:57:01+00:00,crypto_user_4618,-1.0,0.0,0.0,1.0,-1.0,0.5
ETH trading sideways today. Waiting for a breakout.,ETH trading sideways today. Waiting for a breakout.,2025-05-24 21:43:31+00:00,crypto_user_1481,0.0,0.5,1.0,0.5,0.0,0.5
The ETH bubble is about to burst. Get out while you can!,The ETH bubble is about to burst. Get out while you can!,2025-04-03 12:26:24+00:00,crypto_user_1453,-1.0,0.0,0.0,1.0,-1.0,0.5
The ETH market is maturing. Expect less volatility.,The ETH market is maturing. Expect less volatility.,2025-05-21 20:18:03+00:00,crypto_user_9124,0.0,0.5,1.0,0.5,0.0,0.5
Fundamentals don't support current ETH valuation. Overpriced!,Fundamentals don't support current ETH valuation. Overpriced!,2025-04-26 15:16:08+00:00,crypto_user_1702,0.0,0.5,0.0,0.5,0.0,0.5
Technical indicators show ETH is overbought. Correction incoming.,Technical indicators show ETH is overbought. Correction incoming.,2025-04-08 03:16:06+00:00,crypto_user_3145,-1.0,0.0,0.0,1.0,-1.0,0.5
What's your price prediction for ETH this month?,What's your price prediction for ETH this month?,2025-04-20 08:46:44+00:00,crypto_user_5919,0.0,0.5,1.0,0.5,0.0,0.5
New ETH update announced. Impact on price unclear.,New ETH update announced. Impact on price unclear.,2025-05-03 16:57:32+00:00,crypto_user_3139,0.0,0.5,1.0,0.5,0.0,0.5
ETH looking bullish today! Price target ${price},ETH looking bullish today! Price target ${price},2025-05-24 19:57:51+00:00,crypto_user_9529,1.0,1.0,0.0,0.0,1.0,0.5
The future is bright for ETH. New ATH coming soon!,The future is bright for ETH. New ATH coming soon!,2025-05-08 02:11:06+00:00,crypto_user_2884,1.0,1.0,0.0,0.0,1.0,0.5
Comparing ETH to other cryptocurrencies. Mixed results.,Comparing ETH to other cryptocurrencies. Mixed results.,2025-04-11 16:39:25+00:00,crypto_user_4411,0.0,0.5,1.0,0.5,0.0,0.5
ETH volume declining. Not a good sign.,ETH volume declining. Not a good sign.,2025-05-08 20:14:33+00:00,crypto_user_3884,-1.0,0.0,0.0,1.0,-1.0,0.5
The ETH bubble is about to burst. Get out while you can!,The ETH bubble is about to burst. Get out while you can!,2025-04-30 07:31:37+00:00,crypto_user_6089,-1.0,0.0,0.0,1.0,-1.0,0.5
ETH trading sideways today. Waiting for a breakout.,ETH trading sideways today. Waiting for a breakout.,2025-04-28 12:06:24+00:00,crypto_user_2552,0.0,0.5,1.0,0.5,0.0,0.5
The ETH market is maturing. Expect less volatility.,The ETH market is maturing. Expect less volatility.,2025-04-11 08:15:45+00:00,crypto_user_6762,0.0,0.5,1.0,0.5,0.0,0.5
ETH fundamentals are stronger than ever. Buy the dip!,ETH fundamentals are stronger than ever. Buy the dip!,2025-04-11 03:58:15+00:00,crypto_user_9209,1.0,1.0,0.0,0.0,1.0,0.5
The ETH market is maturing. Expect less volatility.,The ETH market is maturing. Expect less volatility.,2025-04-03 08:23:57+00:00,crypto_user_7875,0.0,0.5,1.0,0.5,0.0,0.5
The ETH market is maturing. Expect less volatility.,The ETH market is maturing. Expect less volatility.,2025-04-26 20:43:35+00:00,crypto_user_4668,0.0,0.5,1.0,0.5,0.0,0.5
Technical indicators show ETH is overbought. Correction incoming.,Technical indicators show ETH is overbought. Correction incoming.,2025-05-15 06:26:15+00:00,crypto_user_7396,-1.0,0.0,0.0,1.0,-1.0,0.5
The ETH market is maturing. Expect less volatility.,The ETH market is maturing. Expect less volatility.,2025-05-07 07:38:11+00:00,crypto_user_8302,0.0,0.5,1.0,0.5,0.0,0.5
ETH trading sideways today. Waiting for a breakout.,ETH trading sideways today. Waiting for a breakout.,2025-05-01 08:22:53+00:00,crypto_user_2279,0.0,0.5,1.0,0.5,0.0,0.5
ETH technical analysis shows strong support. Hodl!,ETH technical analysis shows strong support. Hodl!,2025-05-24 01:08:01+00:00,crypto_user_4939,1.0,1.0,0.0,0.0,1.0,0.5
New ETH update announced. Impact on price unclear.,New ETH update announced. Impact on price unclear.,2025-05-03 18:42:02+00:00,crypto_user_7497,0.0,0.5,1.0,0.5,0.0,0.5
Just sold my ETH. Too much volatility for me.,Just sold my ETH. Too much volatility for me.,2025-05-25 21:31:16+00:00,crypto_user_4923,-1.0,0.0,0.0,1.0,-1.0,0.5
Interesting developments in the ETH ecosystem.,Interesting developments in the ETH ecosystem.,2025-05-18 06:05:23+00:00,crypto_user_3699,0.0,0.5,1.0,0.5,0.0,0.5
The ETH rally was just a dead cat bounce. More downside ahead.,The ETH rally was just a dead cat bounce. More downside ahead.,2025-04-07 15:15:12+00:00,crypto_user_1603,0.0,0.5,0.0,0.5,0.0,0.5
Accumulating ETH at these levels is a no-brainer.,Accumulating ETH at these levels is a no-brainer.,2025-04-30 21:17:34+00:00,crypto_user_9351,1.0,1.0,0.0,0.0,1.0,0.5
Interesting developments in the ETH ecosystem.,Interesting developments in the ETH ecosystem.,2025-05-01 18:17:52+00:00,crypto_user_5946,0.0,0.5,1.0,0.5,0.0,0.5
The ETH bubble is about to burst. Get out while you can!,The ETH bubble is about to burst. Get out while you can!,2025-04-30 23:04:29+00:00,crypto_user_4011,-1.0,0.0,0.0,1.0,-1.0,0.5
ETH looking bullish today! Price target ${price},ETH looking bullish today! Price target ${price},2025-04-10 10:52:28+00:00,crypto_user_7944,1.0,1.0,0.0,0.0,1.0,0.5
ETH fundamentals are stronger than ever. Buy the dip!,ETH fundamentals are stronger than ever. Buy the dip!,2025-05-20 07:39:35+00:00,crypto_user_6007,1.0,1.0,0.0,0.0,1.0,0.5
This ETH rally is just getting started! 🚀,This ETH rally is just getting started! 🚀,2025-05-25 06:39:27+00:00,crypto_user_5995,1.0,1.0,0.0,0.0,1.0,0.5
Monitoring ETH price action. No clear direction yet.,Monitoring ETH price action. No clear direction yet.,2025-05-12 03:18:19+00:00,crypto_user_3816,0.0,0.5,1.0,0.5,0.0,0.5
ETH volume declining. Not a good sign.,ETH volume declining. Not a good sign.,2025-04-14 11:32:32+00:00,crypto_user_9115,-1.0,0.0,0.0,1.0,-1.0,0.5
Monitoring ETH price action. No clear direction yet.,Monitoring ETH price action. No clear direction yet.,2025-04-24 03:05:54+00:00,crypto_user_9855,0.0,0.5,1.0,0.5,0.0,0.5
Accumulating ETH at these levels is a no-brainer.,Accumulating ETH at these levels is a no-brainer.,2025-04-06 02:06:15+00:00,crypto_user_9279,1.0,1.0,0.0,0.0,1.0,0.5
The ETH bubble is about to burst. Get out while you can!,The ETH bubble is about to burst. Get out while you can!,2025-04-19 14:14:52+00:00,crypto_user_2224,-1.0,0.0,0.0,1.0,-1.0,0.5
Monitoring ETH price action. No clear direction yet.,Monitoring ETH price action. No clear direction yet.,2025-05-18 19:24:21+00:00,crypto_user_4124,0.0,0.5,1.0,0.5,0.0,0.5
Regulatory concerns for ETH are mounting. Proceed with caution.,Regulatory concerns for ETH are mounting. Proceed with caution.,2025-05-08 15:38:22+00:00,crypto_user_6379,-1.0,0.0,0.0,1.0,-1.0,0.5
Comparing ETH to other cryptocurrencies. Mixed results.,Comparing ETH to other cryptocurrencies. Mixed results.,2025-05-15 04:13:48+00:00,crypto_user_8324,0.0,0.5,1.0,0.5,0.0,0.5
The ETH ecosystem is growing rapidly. Very optimistic!,The ETH ecosystem is growing rapidly. Very optimistic!,2025-04-22 20:45:51+00:00,crypto_user_5862,1.0,1.0,0.0,0.0,1.0,0.5
Accumulating ETH at these levels is a no-brainer.,Accumulating ETH at these levels is a no-brainer.,2025-04-03 02:44:43+00:00,crypto_user_5029,1.0,1.0,0.0,0.0,1.0,0.5
ETH technical analysis shows strong support. Hodl!,ETH technical analysis shows strong support. Hodl!,2025-04-13 11:57:50+00:00,crypto_user_4335,1.0,1.0,0.0,0.0,1.0,0.5
ETH volatility has decreased recently. Consolidation phase?,ETH volatility has decreased recently. Consolidation phase?,2025-04-11 16:52:28+00:00,crypto_user_9180,0.0,0.5,1.0,0.5,0.0,0.5
ETH trading sideways today. Waiting for a breakout.,ETH trading sideways today. Waiting for a breakout.,2025-05-30 07:30:43+00:00,crypto_user_6942,0.0,0.5,1.0,0.5,0.0,0.5
Historical ETH patterns suggest we're in uncharted territory.,Historical ETH patterns suggest we're in uncharted territory.,2025-04-26 21:14:28+00:00,crypto_user_4962,0.0,0.5,1.0,0.5,0.0,0.5
Whales dumping ETH. Price manipulation is real.,Whales dumping ETH. Price manipulation is real.,2025-04-26 02:06:30+00:00,crypto_user_8640,-1.0,0.0,0.0,1.0,-1.0,0.5
Accumulating ETH at these levels is a no-brainer.,Accumulating ETH at these levels is a no-brainer.,2025-04-13 19:56:43+00:00,crypto_user_9903,1.0,1.0,0.0,0.0,1.0,0.5
Comparing ETH to other cryptocurrencies. Mixed results.,Comparing ETH to other cryptocurrencies. Mixed results.,2025-05-27 14:33:57+00:00,crypto_user_5172,0.0,0.5,1.0,0.5,0.0,0.5
ETH looking bearish. Might drop to ${price},ETH looking bearish. Might drop to ${price},2025-04-08 23:52:02+00:00,crypto_user_5696,-1.0,0.0,0.0,1.0,-1.0,0.5
Institutional adoption of ETH is increasing. Bullish!,Institutional adoption of ETH is increasing. Bullish!,2025-05-10 21:17:47+00:00,crypto_user_1306,1.0,1.0,0.0,0.0,1.0,0.5
ETH volume declining. Not a good sign.,ETH volume declining. Not a good sign.,2025-05-12 08:31:07+00:00,crypto_user_1050,-1.0,0.0,0.0,1.0,-1.0,0.5
The ETH bubble is about to burst. Get out while you can!,The ETH bubble is about to burst. Get out while you can!,2025-04-05 21:07:54+00:00,crypto_user_7956,-1.0,0.0,0.0,1.0,-1.0,0.5
Technical indicators show ETH is overbought. Correction incoming.,Technical indicators show ETH is overbought. Correction incoming.,2025-04-20 19:24:41+00:00,crypto_user_3862,-1.0,0.0,0.0,1.0,-1.0,0.5
Comparing ETH to other cryptocurrencies. Mixed results.,Comparing ETH to other cryptocurrencies. Mixed results.,2025-04-17 18:43:34+00:00,crypto_user_4367,0.0,0.5,1.0,0.5,0.0,0.5
Accumulating ETH at these levels is a no-brainer.,Accumulating ETH at these levels is a no-brainer.,2025-04-17 19:34:24+00:00,crypto_user_2342,1.0,1.0,0.0,0.0,1.0,0.5
The future is bright for ETH. New ATH coming soon!,The future is bright for ETH. New ATH coming soon!,2025-04-30 08:17:01+00:00,crypto_user_8669,1.0,1.0,0.0,0.0,1.0,0.5
Fundamentals don't support current ETH valuation. Overpriced!,Fundamentals don't support current ETH valuation. Overpriced!,2025-04-09 04:28:25+00:00,crypto_user_4637,0.0,0.5,0.0,0.5,0.0,0.5
The ETH bubble is about to burst. Get out while you can!,The ETH bubble is about to burst. Get out while you can!,2025-04-06 15:00:39+00:00,crypto_user_1091,-1.0,0.0,0.0,1.0,-1.0,0.5
ETH volatility has decreased recently. Consolidation phase?,ETH volatility has decreased recently. Consolidation phase?,2025-05-12 12:35:10+00:00,crypto_user_9123,0.0,0.5,1.0,0.5,0.0,0.5
Interesting developments in the ETH ecosystem.,Interesting developments in the ETH ecosystem.,2025-04-03 12:21:59+00:00,crypto_user_7928,0.0,0.5,1.0,0.5,0.0,0.5
ETH looking bullish today! Price target ${price},ETH looking bullish today! Price target ${price},2025-04-30 11:45:58+00:00,crypto_user_3222,1.0,1.0,0.0,0.0,1.0,0.5
ETH fundamentals are stronger than ever. Buy the dip!,ETH fundamentals are stronger than ever. Buy the dip!,2025-04-16 17:50:52+00:00,crypto_user_5066,1.0,1.0,0.0,0.0,1.0,0.5
ETH looking bullish today! Price target ${price},ETH looking bullish today! Price target ${price},2025-04-16 20:57:53+00:00,crypto_user_7436,1.0,1.0,0.0,0.0,1.0,0.5
Just sold my ETH. Too much volatility for me.,Just sold my ETH. Too much volatility for me.,2025-04-08 03:39:13+00:00,crypto_user_9857,-1.0,0.0,0.0,1.0,-1.0,0.5
What's your price prediction for ETH this month?,What's your price prediction for ETH this month?,2025-04-02 20:29:49+00:00,crypto_user_3697,0.0,0.5,1.0,0.5,0.0,0.5
Just sold my ETH. Too much volatility for me.,Just sold my ETH. Too much volatility for me.,2025-05-02 19:48:24+00:00,crypto_user_4533,-1.0,0.0,0.0,1.0,-1.0,0.5
ETH looking bullish today! Price target ${price},ETH looking bullish today! Price target ${price},2025-05-05 13:44:14+00:00,crypto_user_2733,1.0,1.0,0.0,0.0,1.0,0.5
The future is bright for ETH. New ATH coming soon!,The future is bright for ETH. New ATH coming soon!,2025-05-26 23:01:56+00:00,crypto_user_9521,1.0,1.0,0.0,0.0,1.0,0.5
The ETH rally was just a dead cat bounce. More downside ahead.,The ETH rally was just a dead cat bounce. More downside ahead.,2025-05-28 06:32:53+00:00,crypto_user_6328,0.0,0.5,0.0,0.5,0.0,0.5
New ETH update announced. Impact on price unclear.,New ETH update announced. Impact on price unclear.,2025-04-17 16:36:50+00:00,crypto_user_7057,0.0,0.5,1.0,0.5,0.0,0.5
New ETH update announced. Impact on price unclear.,New ETH update announced. Impact on price unclear.,2025-05-08 16:28:33+00:00,crypto_user_9107,0.0,0.5,1.0,0.5,0.0,0.5
Fundamentals don't support current ETH valuation. Overpriced!,Fundamentals don't support current ETH valuation. Overpriced!,2025-05-04 21:22:40+00:00,crypto_user_2513,0.0,0.5,0.0,0.5,0.0,0.5
What's your price prediction for ETH this month?,What's your price prediction for ETH this month?,2025-04-27 01:33:04+00:00,crypto_user_1290,0.0,0.5,1.0,0.5,0.0,0.5
This ETH rally is just getting started! 🚀,This ETH rally is just getting started! 🚀,2025-05-09 22:03:20+00:00,crypto_user_9869,1.0,1.0,0.0,0.0,1.0,0.5
ETH fundamentals are stronger than ever. Buy the dip!,ETH fundamentals are stronger than ever. Buy the dip!,2025-05-27 22:37:18+00:00,crypto_user_3385,1.0,1.0,0.0,0.0,1.0,0.5
What's your price prediction for ETH this month?,What's your price prediction for ETH this month?,2025-04-14 05:35:33+00:00,crypto_user_7474,0.0,0.5,1.0,0.5,0.0,0.5
Analyzing ETH on-chain metrics. Data is inconclusive.,Analyzing ETH on-chain metrics. Data is inconclusive.,2025-05-23 14:32:47+00:00,crypto_user_2731,0.0,0.5,1.0,0.5,0.0,0.5
ETH volume declining. Not a good sign.,ETH volume declining. Not a good sign.,2025-04-21 10:43:43+00:00,crypto_user_8137,-1.0,0.0,0.0,1.0,-1.0,0.5
The ETH rally was just a dead cat bounce. More downside ahead.,The ETH rally was just a dead cat bounce. More downside ahead.,2025-05-12 08:28:43+00:00,crypto_user_5830,0.0,0.5,0.0,0.5,0.0,0.5
Long-term ETH holders will be rewarded. Patience pays!,Long-term ETH holders will be rewarded. Patience pays!,2025-03-31 18:53:25+00:00,crypto_user_1396,1.0,1.0,0.0,0.0,1.0,0.5
Regulatory concerns for ETH are mounting. Proceed with caution.,Regulatory concerns for ETH are mounting. Proceed with caution.,2025-04-23 07:18:23+00:00,crypto_user_6665,-1.0,0.0,0.0,1.0,-1.0,0.5
ETH trading sideways today. Waiting for a breakout.,ETH trading sideways today. Waiting for a breakout.,2025-04-07 12:49:11+00:00,crypto_user_4696,0.0,0.5,1.0,0.5,0.0,0.5
Technical indicators show ETH is overbought. Correction incoming.,Technical indicators show ETH is overbought. Correction incoming.,2025-05-16 09:55:53+00:00,crypto_user_3224,-1.0,0.0,0.0,1.0,-1.0,0.5
Fundamentals don't support current ETH valuation. Overpriced!,Fundamentals don't support current ETH valuation. Overpriced!,2025-05-22 06:43:38+00:00,crypto_user_9780,0.0,0.5,0.0,0.5,0.0,0.5
Technical indicators show ETH is overbought. Correction incoming.,Technical indicators show ETH is overbought. Correction incoming.,2025-04-11 22:04:37+00:00,crypto_user_7834,-1.0,0.0,0.0,1.0,-1.0,0.5
Interesting developments in the ETH ecosystem.,Interesting developments in the ETH ecosystem.,2025-04-17 05:26:51+00:00,crypto_user_2870,0.0,0.5,1.0,0.5,0.0,0.5
New ETH update announced. Impact on price unclear.,New ETH update announced. Impact on price unclear.,2025-04-20 14:46:58+00:00,crypto_user_4721,0.0,0.5,1.0,0.5,0.0,0.5
The ETH bubble is about to burst. Get out while you can!,The ETH bubble is about to burst. Get out while you can!,2025-05-11 12:14:14+00:00,crypto_user_3197,-1.0,0.0,0.0,1.0,-1.0,0.5
This ETH rally is just getting started! 🚀,This ETH rally is just getting started! 🚀,2025-04-28 11:34:03+00:00,crypto_user_8363,1.0,1.0,0.0,0.0,1.0,0.5
This ETH rally is just getting started! 🚀,This ETH rally is just getting started! 🚀,2025-04-09 10:18:07+00:00,crypto_user_3681,1.0,1.0,0.0,0.0,1.0,0.5
The ETH ecosystem is growing rapidly. Very optimistic!,The ETH ecosystem is growing rapidly. Very optimistic!,2025-05-16 01:20:15+00:00,crypto_user_9982,1.0,1.0,0.0,0.0,1.0,0.5
The ETH rally was just a dead cat bounce. More downside ahead.,The ETH rally was just a dead cat bounce. More downside ahead.,2025-05-28 20:46:43+00:00,crypto_user_5311,0.0,0.5,0.0,0.5,0.0,0.5
ETH technical analysis shows strong support. Hodl!,ETH technical analysis shows strong support. Hodl!,2025-04-17 12:58:03+00:00,crypto_user_3458,1.0,1.0,0.0,0.0,1.0,0.5
The future is bright for ETH. New ATH coming soon!,The future is bright for ETH. New ATH coming soon!,2025-05-12 10:43:33+00:00,crypto_user_9943,1.0,1.0,0.0,0.0,1.0,0.5
New ETH update announced. Impact on price unclear.,New ETH update announced. Impact on price unclear.,2025-05-20 07:28:20+00:00,crypto_user_9569,0.0,0.5,1.0,0.5,0.0,0.5
This ETH rally is just getting started! 🚀,This ETH rally is just getting started! 🚀,2025-05-21 01:49:04+00:00,crypto_user_2994,1.0,1.0,0.0,0.0,1.0,0.5
Institutional adoption of ETH is increasing. Bullish!,Institutional adoption of ETH is increasing. Bullish!,2025-04-20 22:10:01+00:00,crypto_user_1372,1.0,1.0,0.0,0.0,1.0,0.5
ETH trading sideways today. Waiting for a breakout.,ETH trading sideways today. Waiting for a breakout.,2025-05-13 22:22:56+00:00,crypto_user_3300,0.0,0.5,1.0,0.5,0.0,0.5
ETH looking bullish today! Price target ${price},ETH looking bullish today! Price target ${price},2025-04-12 12:34:38+00:00,crypto_user_1982,1.0,1.0,0.0,0.0,1.0,0.5
The ETH rally was just a dead cat bounce. More downside ahead.,The ETH rally was just a dead cat bounce. More downside ahead.,2025-04-25 10:42:54+00:00,crypto_user_6596,0.0,0.5,0.0,0.5,0.0,0.5
The ETH bubble is about to burst. Get out while you can!,The ETH bubble is about to burst. Get out while you can!,2025-05-06 11:53:25+00:00,crypto_user_7689,-1.0,0.0,0.0,1.0,-1.0,0.5
Technical indicators show ETH is overbought. Correction incoming.,Technical indicators show ETH is overbought. Correction incoming.,2025-05-23 03:06:35+00:00,crypto_user_4266,-1.0,0.0,0.0,1.0,-1.0,0.5
Interesting developments in the ETH ecosystem.,Interesting developments in the ETH ecosystem.,2025-05-12 20:08:39+00:00,crypto_user_5067,0.0,0.5,1.0,0.5,0.0,0.5
The ETH ecosystem is growing rapidly. Very optimistic!,The ETH ecosystem is growing rapidly. Very optimistic!,2025-05-14 10:36:20+00:00,crypto_user_4520,1.0,1.0,0.0,0.0,1.0,0.5
Just sold my ETH. Too much volatility for me.,Just sold my ETH. Too much volatility for me.,2025-04-19 12:48:03+00:00,crypto_user_8118,-1.0,0.0,0.0,1.0,-1.0,0.5
The ETH bubble is about to burst. Get out while you can!,The ETH bubble is about to burst. Get out while you can!,2025-05-18 03:23:07+00:00,crypto_user_8005,-1.0,0.0,0.0,1.0,-1.0,0.5
ETH technical analysis shows strong support. Hodl!,ETH technical analysis shows strong support. Hodl!,2025-05-22 04:22:20+00:00,crypto_user_3779,1.0,1.0,0.0,0.0,1.0,0.5
Historical ETH patterns suggest we're in uncharted territory.,Historical ETH patterns suggest we're in uncharted territory.,2025-05-22 14:50:02+00:00,crypto_user_4503,0.0,0.5,1.0,0.5,0.0,0.5
The ETH rally was just a dead cat bounce. More downside ahead.,The ETH rally was just a dead cat bounce. More downside ahead.,2025-04-15 17:11:36+00:00,crypto_user_5356,0.0,0.5,0.0,0.5,0.0,0.5
ETH looking bullish today! Price target ${price},ETH looking bullish today! Price target ${price},2025-04-28 21:59:28+00:00,crypto_user_2806,1.0,1.0,0.0,0.0,1.0,0.5
Just sold my ETH. Too much volatility for me.,Just sold my ETH. Too much volatility for me.,2025-05-24 01:07:14+00:00,crypto_user_7586,-1.0,0.0,0.0,1.0,-1.0,0.5
ETH fundamentals are stronger than ever. Buy the dip!,ETH fundamentals are stronger than ever. Buy the dip!,2025-04-07 20:37:36+00:00,crypto_user_4190,1.0,1.0,0.0,0.0,1.0,0.5
ETH looking bullish today! Price target ${price},ETH looking bullish today! Price target ${price},2025-05-03 09:43:22+00:00,crypto_user_8861,1.0,1.0,0.0,0.0,1.0,0.5
The future is bright for ETH. New ATH coming soon!,The future is bright for ETH. New ATH coming soon!,2025-04-28 14:03:03+00:00,crypto_user_2885,1.0,1.0,0.0,0.0,1.0,0.5
Comparing ETH to other cryptocurrencies. Mixed results.,Comparing ETH to other cryptocurrencies. Mixed results.,2025-04-16 05:23:38+00:00,crypto_user_2321,0.0,0.5,1.0,0.5,0.0,0.5
What's your price prediction for ETH this month?,What's your price prediction for ETH this month?,2025-04-16 23:24:12+00:00,crypto_user_8434,0.0,0.5,1.0,0.5,0.0,0.5
Analyzing ETH on-chain metrics. Data is inconclusive.,Analyzing ETH on-chain metrics. Data is inconclusive.,2025-05-28 06:28:06+00:00,crypto_user_9901,0.0,0.5,1.0,0.5,0.0,0.5
Just bought more ETH! Expecting a rally to ${price},Just bought more ETH! Expecting a rally to ${price},2025-04-30 06:40:09+00:00,crypto_user_8403,1.0,1.0,0.0,0.0,1.0,0.5
Monitoring ETH price action. No clear direction yet.,Monitoring ETH price action. No clear direction yet.,2025-04-22 00:24:33+00:00,crypto_user_5934,0.0,0.5,1.0,0.5,0.0,0.5
Historical ETH patterns suggest we're in uncharted territory.,Historical ETH patterns suggest we're in uncharted territory.,2025-04-11 13:12:04+00:00,crypto_user_3476,0.0,0.5,1.0,0.5,0.0,0.5
ETH looking bullish today! Price target ${price},ETH looking bullish today! Price target ${price},2025-04-16 03:31:38+00:00,crypto_user_2342,1.0,1.0,0.0,0.0,1.0,0.5
Interesting developments in the ETH ecosystem.,Interesting developments in the ETH ecosystem.,2025-05-20 02:45:21+00:00,crypto_user_7917,0.0,0.5,1.0,0.5,0.0,0.5
Institutional adoption of ETH is increasing. Bullish!,Institutional adoption of ETH is increasing. Bullish!,2025-05-23 18:27:40+00:00,crypto_user_1875,1.0,1.0,0.0,0.0,1.0,0.5
The future is bright for ETH. New ATH coming soon!,The future is bright for ETH. New ATH coming soon!,2025-04-29 18:44:48+00:00,crypto_user_6986,1.0,1.0,0.0,0.0,1.0,0.5
Just bought more ETH! Expecting a rally to ${price},Just bought more ETH! Expecting a rally to ${price},2025-05-07 05:15:52+00:00,crypto_user_7644,1.0,1.0,0.0,0.0,1.0,0.5
ETH looking bullish today! Price target ${price},ETH looking bullish today! Price target ${price},2025-04-28 16:27:21+00:00,crypto_user_9772,1.0,1.0,0.0,0.0,1.0,0.5
